Tiempo;average(B);average(A)
(ms);(V);(V)

-22,03339076;0,00524697;0,10114310
-22,02315076;0,00523727;0,09702779
-22,01291076;0,00519804;0,09282569
-22,00267076;0,00516637;0,08839963
-21,99243076;0,00514002;0,08406924
-21,98219076;0,00512150;0,07981928
-21,97195076;0,00508740;0,07577637
-21,96171076;0,00503579;0,07138790
-21,95147076;0,00500490;0,06701175
-21,94123076;0,00494928;0,06264046
-21,93099076;0,00490629;0,05828780
-21,92075076;0,00482652;0,05350094
-21,91051076;0,00476285;0,04845855
-21,90027076;0,00468870;0,04465964
-21,89003076;0,00460379;0,04069045
-21,87979076;0,00446625;0,03643560
-21,86955076;0,00425266;0,03184942
-21,85931076;0,00361916;0,02783176
-21,84907076;0,00178106;0,02349136
-21,83883076;-0,00172992;0,01903268
-21,82859076;-0,00506982;0,01458876
-21,81835076;-0,00573986;0,01016853
-21,80811076;-0,00532505;0,00579655
-21,79787076;-0,00533553;0,00144317
-21,78763076;-0,00551203;-0,00330623
-21,77739076;-0,00556629;-0,00747684
-21,76715076;-0,00558753;-0,01178259
-21,75691076;-0,00563052;-0,01642598
-21,74667076;-0,00567323;-0,02111354
-21,73643076;-0,00573046;-0,02495489
-21,72619076;-0,00574791;-0,02949061
-21,71595076;-0,00576862;-0,03343645
-21,70571076;-0,00580301;-0,03794844
-21,69547076;-0,00585163;-0,04205165
-21,68523076;-0,00586666;-0,04604428
-21,67499076;-0,00588306;-0,05054443
-21,66475076;-0,00589892;-0,05501428
-21,65451076;-0,00591637;-0,05915414
-21,64427076;-0,00595289;-0,06288806
-21,63403076;-0,00596284;-0,06715727
-21,62379076;-0,00596847;-0,07174677
-21,61355076;-0,00597843;-0,07595378
-21,60331076;-0,00601067;-0,08019824
-21,59307076;-0,00601549;-0,08492985
-21,58283076;-0,00602005;-0,08969797
-21,57259076;-0,00602625;-0,09361185
-21,56235076;-0,00605201;-0,09723387
-21,55211076;-0,00607836;-0,10130080
-21,54187076;-0,00607916;-0,10533070
-21,53163076;-0,00607219;-0,10986020
-21,52139076;-0,00609797;-0,11372950
-21,51115076;-0,00611463;-0,11769850
-21,50091076;-0,00611573;-0,12188780
-21,49067076;-0,00610630;-0,12622910
