Tiempo;average(B);average(A)
(ms);(V);(V)

-19,19276453;0,38457450;0,20636600
-19,18252453;0,38380600;0,20062850
-19,17228453;0,38334470;0,19574560
-19,16204453;0,38273000;0,19238860
-19,15180453;0,38183870;0,18768890
-19,14156453;0,38125500;0,18158530
-19,13132453;0,38051750;0,17761800
-19,12108453;0,37981010;0,17584790
-19,11084453;0,37922630;0,17279690
-19,10060453;0,37848770;0,16773540
-19,09036453;0,37722460;0,16158520
-19,08012453;0,37636240;0,15878510
-19,06988453;0,37500700;0,15579710
-19,05964453;0,37402220;0,15030380
-19,04940453;0,37306840;0,14328420
-19,03916453;0,37153040;0,14072060
-19,02892453;0,37030030;0,13852330
-19,01868453;0,36848350;0,13418980
-19,00844453;0,36672840;0,12912380
-18,99820453;0,36525050;0,12387470
-18,98796453;0,36355840;0,12106700
-18,97772453;0,36180660;0,11624510
-18,96748453;0,36020860;0,10892050
-18,95724453;0,35833380;0,10556350
-18,94700453;0,35581110;0,10342710
-18,93676453;0,35359590;0,10000910
-18,92652453;0,35070260;0,09427170
-18,91628453;0,34762700;0,08914466
-18,90604453;0,34538300;0,08633865
-18,89580453;0,34255380;0,08201391
-18,88556453;0,33935220;0,07531260
-18,87532453;0,33596550;0,07055767
-18,86508453;0,33175090;0,06823931
-18,85484453;0,32713390;0,06537062
-18,84460453;0,32276800;0,05914486
-18,83436453;0,31747750;0,05401773
-18,82412453;0,31166200;0,04895166
-18,81388453;0,30704950;0,04486221
-18,80364453;0,30181780;0,03894161
-18,79340453;0,29498560;0,03393657
-18,78316453;0,28840120;0,03234961
-18,77292453;0,28059000;0,02874842
-18,76268453;0,27237530;0,02356029
-18,75244453;0,26391390;0,01757868
-18,74220453;0,25465270;0,01525948
-18,73196453;0,24437960;0,01214805
-18,72172453;0,23296550;0,00538226
-18,71148453;0,21964310;-0,00052650
-18,70124453;0,20370770;-0,00320444
-18,69100453;0,18229530;-0,00515120
-18,68076453;0,14986810;-0,01081206
-18,67052453;0,09526116;-0,01611565
-18,66028453;0,00734074;-0,02069157
-18,65004453;-0,10060810;-0,02368239
-18,63980453;-0,19453300;-0,02893158
-18,62956453;-0,24710930;-0,03509628
-18,61932453;-0,26387620;-0,03888056
-18,60908453;-0,27076900;-0,04071165
-18,59884453;-0,28024510;-0,04620503
-18,58860453;-0,29085790;-0,05212565
-18,57836453;-0,29980970;-0,05603204
-18,56812453;-0,30787170;-0,05853457
-18,55788453;-0,31568730;-0,06402793
