Tiempo;average(A);average(B)
(ms);(V);(V)

-18,94986369;0,10316520;1,36809600
-18,93962369;0,09906792;1,36559500
-18,92938369;0,09307053;1,36465700
-18,91914369;0,08883896;1,36340700
-18,90890369;0,08572317;1,36309500
-18,89866369;0,08163415;1,35965600
-18,88842369;0,07517838;1,35949900
-18,87818369;0,07006975;1,35824900
-18,86794369;0,06786381;1,35621800
-18,85770369;0,06419761;1,35496700
-18,84746369;0,05873702;1,35340500
-18,83722369;0,05352619;1,35106100
-18,82698369;0,04897773;1,35059100
-18,81674369;0,04347929;1,34824700
-18,80650369;0,03782739;1,34777800
-18,79626369;0,03391236;1,34434100
-18,78602369;0,03186828;1,34356000
-18,77578369;0,02838465;1,34168400
-18,76554369;0,02312577;1,33980900
-18,75530369;0,01781899;1,33730900
-18,74506369;0,01486352;1,33590100
-18,73482369;0,01106704;1,33480700
-18,72458369;0,00494370;1,33230800
-18,71434369;-0,00041913;1,33137000
-18,70410369;-0,00343395;1,32887000
-18,69386369;-0,00617008;1,32574400
-18,68362369;-0,01115785;1,32293100
-18,67338369;-0,01653399;1,31996200
-18,66314369;-0,02078315;1,31886800
-18,65290369;-0,02447737;1,31714800
-18,64266369;-0,02991837;1,31480500
-18,63242369;-0,03534999;1,31339700
-18,62218369;-0,03872792;1,31042900
-18,61194369;-0,04142446;1,30902200
-18,60170369;-0,04641426;1,30480300
-18,59146369;-0,05183594;1,30417800
-18,58122369;-0,05611572;1,30136500
-18,57098369;-0,05954164;1,29933300
-18,56074369;-0,06559734;1,29698900
-18,55050369;-0,07124984;1,29292600
-18,54026369;-0,07459877;1,28870700
-18,53002369;-0,07721787;1,28589400
-18,51978369;-0,08173413;1,28308100
-18,50954369;-0,08687785;1,27761100
-18,49930369;-0,09164523;1,27448500
-18,48906369;-0,09592965;1,26776600
-18,47882369;-0,10083210;1,26385900
-18,46858369;-0,10674310;1,25807700
-18,45834369;-0,11014000;1,25229400
-18,44810369;-0,11232790;1,24650900
-18,43786369;-0,11596500;1,23947100
-18,42762369;-0,12216490;1,22882800
-18,41738369;-0,12685870;1,21552600
-18,40714369;-0,12943090;1,19472700
-18,39690369;-0,13330800;1,16972000
-18,38666369;-0,13971810;1,13596500
-18,37642369;-0,14477500;1,09345700
-18,36618369;-0,14702030;1,04063500
-18,35594369;-0,15005260;0,97828160
-18,34570369;-0,15514780;0,90623840
-18,33546369;-0,16050200;0,83216330
-18,32522369;-0,16413690;0,74636810
-18,31498369;-0,16793840;0,64682050
-18,30474369;-0,17272550;0,53070770
-18,29450369;-0,17854280;0,40006090
-18,28426369;-0,18160190;0,25863140
-18,27402369;-0,18407720;0,11548260
-18,26378369;-0,18793480;-0,02922883
-18,25354369;-0,19323180;-0,17331530
